,domestic_gross,opening_per_theater,opening_weekend_take,production_budget,widest_release,worldwide_gross,year,metascore,num_user_ratings,runtime_minutes
count,3305.0,3242.0,3242.0,1507.0,3267.0,2627.0,3347.0,3271.0,3207.0,3295.0
mean,37468901.3607,7876.73904997,9302936.21098,46713072.4751,1408.37343128,94056445.8949,2005.6650732,57.651482727,122.256314312,107.37693475
std,57985971.2281,8402.58839341,14371623.8889,41033428.352,1303.58548069,151894500.134,7.71723734626,18.0730144206,219.848935339,19.3152972136
min,72.0,72.0,72.0,220.0,1.0,72.0,1967.0,1.0,4.0,60.0
25%,685839.0,3300.0,51342.5,17000000.0,58.0,6247501.0,2002.0,45.0,23.0,94.0
50%,14401563.0,5624.5,3761571.0,35000000.0,1212.0,38574362.0,2007.0,58.0,57.0,104.0
75%,51854875.0,9590.0,13266484.25,65000000.0,2635.5,121027488.5,2012.0,71.0,130.0,117.0
max,760507625.0,204230.0,174144585.0,215000000.0,4468.0,2787965087.0,2015.0,100.0,4002.0,325.0
